City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Opuwo,NA,-18.0607,13.84,77.18,39,84,6.51
94,Meridian,US,43.6121,-116.3915,51.8,50,40,17.27
95,Springdale,US,36.1867,-94.1288,51.01,32,40,9.22
96,Pinega,RU,64.7001,43.3936,-9.47,87,100,11.59
97,Krasnoselkup,RU,65.7,82.4667,-28.93,85,90,4.0
98,Mitsamiouli,KM,-11.3847,43.2844,82.81,70,4,3.36
99,Arlit,NE,18.7369,7.3853,68.94,21,0,5.44
100,Dingle,PH,10.9995,122.6711,74.57,90,97,6.93
101,Bandarbeyla,SO,9.4942,50.8122,73.85,72,11,11.81
102,Berbera,SO,10.4396,45.0143,73.62,74,0,1.79
103,Bengkulu,ID,-3.8004,102.2655,75.88,85,78,4.88
104,Tubuala,PA,9.5167,-79.0333,90.0,58,40,6.91
105,Pitkyaranta,RU,61.5734,31.4792,5.45,92,94,15.01
106,Ghanzi,BW,-21.5667,21.7833,69.76,89,100,10.31
107,Muros,ES,42.7762,-9.0603,53.01,75,100,7.0
108,Kralendijk,BQ,12.15,-68.2667,82.4,69,0,21.85
109,Ardakan,IR,32.31,54.0175,53.6,20,0,4.61
110,Port-Gentil,GA,-0.7193,8.7815,80.6,89,20,6.91
111,Sorland,NO,67.667,12.6934,28.4,86,40,2.3
112,Port-Cartier,CA,50.0334,-66.8654,34.0,86,100,8.05
113,Tambacounda,SN,13.7539,-13.7586,82.4,34,0,6.91
114,Nelspruit,ZA,-25.4745,30.9703,66.2,100,100,5.75
115,Cayenne,GF,4.9333,-52.3333,77.0,94,75,16.11
116,Pampierstad,ZA,-27.7832,24.6877,74.57,61,0,10.63
117,Torbay,CA,47.6666,-52.7314,37.99,100,75,25.32
118,Sindor,RU,62.8629,51.8905,-1.82,92,100,10.6
119,Anyama,CI,5.4946,-4.0518,77.0,88,40,2.3
120,Yaroslavl,RU,57.6299,39.8737,5.0,72,0,8.95
121,Mogadishu,SO,2.0371,45.3438,76.41,83,0,19.73
122,Barranca,PE,-10.75,-77.7667,74.14,67,94,10.16
123,Kruisfontein,ZA,-34.0033,24.7314,73.0,81,5,4.0
124,Narsaq,GL,60.9167,-46.05,19.4,42,0,4.61
125,Halifax,CA,44.6453,-63.5724,37.4,60,75,11.5
126,Killybegs,IE,54.6333,-8.45,42.8,87,75,10.36
127,Dzaoudzi,YT,-12.7887,45.2699,80.6,83,0,3.44
128,Carnarvon,AU,-24.8667,113.6333,80.6,79,90,23.02
129,Castro,BR,-24.7911,-50.0119,71.98,61,0,3.65
130,Ancud,CL,-41.8697,-73.8203,84.2,30,0,16.11
131,Loandjili,CG,-4.7561,11.8578,82.4,83,20,4.61
132,Rocha,UY,-34.4833,-54.3333,66.38,68,12,12.84
133,Marawi,PH,7.9986,124.2928,72.0,92,87,7.0
134,Yar-Sale,RU,66.8333,70.8333,-21.28,87,100,8.43
135,Shelburne,CA,44.0787,-80.2041,23.0,85,94,19.8
136,Mkuranga,TZ,-7.118,39.2078,80.6,83,20,9.22
137,Kortkeros,RU,61.8106,51.5806,3.2,85,75,11.18
138,Tasiilaq,GL,65.6145,-37.6368,21.2,58,75,2.3
139,Seitin,RO,46.1,20.85,51.8,82,75,9.22
140,Beyneu,KZ,45.3167,55.2,45.34,63,100,10.69
141,Bridlington,GB,54.0831,-0.1919,42.01,91,36,4.0
142,Yambio,SS,4.5721,28.3955,76.21,26,27,5.82
143,Sartana,UA,47.1744,37.6927,27.88,85,0,10.87
144,Aktash,RU,50.3,87.7333,5.92,93,100,4.61
145,Boueni,YT,-12.9025,45.0761,80.6,83,0,3.44
146,Cumaral,CO,4.2708,-73.4867,90.88,41,77,8.16
147,Ambilobe,MG,-13.2,49.05,74.12,93,61,3.6
148,Saint-Augustin,CA,51.226,-58.6502,31.91,98,100,14.2
149,Klaksvik,FO,62.2266,-6.589,32.0,86,20,1.14
150,Bojnurd,IR,37.4747,57.329,48.2,27,0,4.61
151,Micheweni,TZ,-4.9667,39.8333,80.19,80,0,8.34
152,Buraydah,SA,26.326,43.975,55.4,76,75,14.97
153,Brighton,GB,50.8284,-0.1395,46.0,98,10,1.99
154,Vilhena,BR,-12.7406,-60.1458,73.4,100,75,6.91
155,Sajkas,RS,45.2722,20.0897,51.8,100,45,2.3
156,Tingi,TZ,-11.3,35.0333,64.81,94,28,2.64
157,Tahta,EG,26.7693,31.5021,59.0,58,0,8.05
158,Murgab,TM,37.4966,61.9714,51.8,40,40,6.91
159,Mitu,CO,1.1983,-70.1733,82.0,92,88,2.46
160,Kyshtovka,RU,56.555,76.6271,18.16,97,87,8.55
161,Kharan,PK,28.5833,65.4167,49.86,39,0,3.49
162,Takoradi,GH,4.8845,-1.7554,80.06,88,0,10.69
