City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
359,Tombouctou,ML,81.28,20.0,-3.0,
362,Aquiraz,BR,82.4,-3.9014,-38.3911,Pousada Rua Camurupim
364,Carutapera,BR,80.53,-1.195,-46.02,Lidera
366,Zaria,NG,73.76,11.1113,7.7227,A.B.U Hotels
374,Dutse,NG,72.43,11.7594,9.3392,Central Mosque Galamawa
377,Canutama,BR,77.41,-6.5339,-64.3831,Hotel Jhennifer
378,Sembe,CG,76.15,1.6481,14.5806,
379,Nortelandia,BR,83.97,-14.4547,-56.8028,Hotel Karysmã
381,Pauini,BR,82.74,-7.7136,-66.9764,Casa do Kiwliks
382,Saint-Joseph,RE,78.8,-21.3667,55.6167,"""Plantation Bed and Breakfast"
386,Ipixuna,BR,86.0,-1.7625,-48.8043,Casa da Oscarina
389,Tema,GH,82.4,5.667000000000001,-0.0166,Beulah Royale
390,Luanda,AO,78.8,-8.8368,13.2343,EPIC SANA Luanda
397,Loiza,PR,82.4,18.4313,-65.8802,Malibu Beachfront
401,Edgewater,US,77.0,28.9889,-80.9023,Islander Beach Resort
404,Colon,PA,87.01,9.3592,-79.9014,Sand Diamond Hotel
413,Bokoro,TD,74.16,12.3807,17.0568,
419,Itaituba,BR,89.6,-4.2761,-55.9836,Hotel Campos
420,Axim,GH,80.11,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
423,Matara,LK,74.43,5.9485,80.5353,Amaloh Boutique Resort
428,Queimadas,BR,88.84,-10.9783,-39.6264,Hotel Mandala
435,Mabaruma,GY,80.2,8.2,-59.7833,
436,Torit,SS,80.92,4.4133,32.5678,Diplomat Guest House
445,Gandu,BR,79.5,-13.7439,-39.4867,Pousada Duarte
447,Upata,VE,83.79,8.0086,-62.3989,Posada Villa Nela
449,Pimentel,PE,77.0,-6.8367,-79.9342,Casona Del Muelle
450,Lethem,GY,87.67,3.3803,-59.7968,Savannah Inn
451,Gorom-Gorom,BF,79.99,14.4439,-0.2361,Mairie de Rambo
452,Pangoa,PE,75.63,-12.1167,-73.0,
455,Ntoum,GA,84.2,0.3833,9.7833,Hôtel Santa Barbara
458,Mathathane,BW,77.4,-22.2687,28.7495,Selepswe Resort
462,Tamandare,BR,79.39,-8.7597,-35.1047,Pousada 100 Passos
464,Campoverde,PE,86.0,-8.4753,-74.8058,Hospedaje Coral's
467,Japura,ID,72.25,-0.3167,102.35,Rumah mbah Jamah
471,Ilo,PE,71.04,-17.6394,-71.3375,Torreblanca Hotel
473,Saint-Pierre,RE,78.8,-21.3393,55.4781,Lindsey Hôtel
475,Calama,CL,77.0,-22.4667,-68.9333,Park Hotel Calama
476,Floriano,BR,85.15,-6.7669,-43.0225,Hotel Maktub
483,Corrente,BR,81.54,-3.7367,-43.3394,Chapadinhense Hotel
484,Tabat,ID,73.29,-2.635,115.2274,Perumahan PNS Senga Permai
492,Velingara,SN,82.53,13.15,-14.1167,Hotel Najla
499,Rafaela,AR,86.0,-31.2503,-61.4867,Parra Hotel & Suites
500,Prieska,ZA,83.61,-29.6641,22.7474,Avenue GuestHouse
501,Zemio,CF,78.51,5.0314,25.1361,OCHA Office
510,Iracoubo,GF,78.35,5.4802,-53.2011,Le Gite D Iracoubo
511,Kathu,TH,78.8,7.9178,98.3332,Novotel Phuket Resort
515,Tartagal,AR,83.32,-22.5164,-63.8013,Almuñecar Hotel
522,Pedernales,DO,84.2,18.0384,-71.744,Hotel Costa Marina
527,Mahajanga,MG,82.4,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
532,Kidal,ML,74.75,18.4411,1.4078,
533,Tabou,CI,79.0,4.423,-7.3528,hotêl doufoulougou
535,Carolina,PR,84.2,18.3808,-65.9574,Motel Fantasy Star
536,Chicama,PE,71.6,-7.8447,-79.1469,Hospedaje Punta Cana PERU
538,Mutata,CO,84.27,7.2441,-76.4356,RESIDENCIA ZULIMA
545,Kyabe,TD,78.78,9.4515,18.9449,
549,Fortaleza,BR,82.4,-3.7227,-38.5247,Hotel Luzeiros Fortaleza
551,Pitimbu,BR,80.6,-7.4706,-34.8086,Reserva do Abiaí
552,Muisne,EC,78.8,0.6,-80.0333,Quinta Samay
554,Piacabucu,BR,80.26,-10.4056,-36.4344,Piaçabuçu News
555,Tocopilla,CL,72.07,-22.092,-70.1979,Hotel Galvarino
559,Kandi,BJ,80.65,11.1342,2.9386,Baric Motel De Kandi
562,Angoche,MZ,81.07,-16.2325,39.9086,Guest House HESADA
563,Bloomingdale,US,78.8,27.8936,-82.2404,Travel Club for Free
564,Ouallam,NE,79.5,14.3188,2.0866,
567,Mahanoro,MG,76.98,-19.9,48.8,BUNGALOW MAHAMANINA
575,Maputo,MZ,81.0,-25.9653,32.5892,Pestana Rovuma
577,Kalmunai,LK,75.7,7.4167,81.8167,VS Villa
579,Kismayo,SO,76.8,-0.3582,42.5454,Agan-Hotel
583,Sechura,PE,82.09,-5.5569,-80.8222,Hospedaje Costa Bella
