City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
447,Naryan-Mar,67.6713,53.087,-0.45,93,91,7.25,RU,2021-02-04 01:27:03
448,Camacha,33.0833,-16.3333,55.4,82,40,13.8,PT,2021-02-04 01:27:03
449,Salaga,8.5508,-0.5188,79.54,17,0,3.53,GH,2021-02-04 01:27:03
450,Matagami,49.7502,-77.6328,5.0,100,1,10.36,CA,2021-02-04 01:27:03
451,Toamasina,-18.1667,49.3833,75.2,94,75,2.3,MG,2021-02-04 01:27:04
452,Katete,-0.7818,29.7544,64.69,72,99,3.13,UG,2021-02-04 01:27:04
453,Mango,27.9797,-82.3065,51.01,65,1,6.24,US,2021-02-04 01:27:04
454,Nigran,42.1415,-8.8066,54.0,100,75,6.91,ES,2021-02-04 01:27:04
455,Vaasa,63.096,21.6158,21.0,86,90,8.05,FI,2021-02-04 01:27:04
456,Chhabra,24.6667,76.8333,60.62,37,2,4.72,IN,2021-02-04 01:27:04
457,Mehran,33.1222,46.1646,39.2,56,0,6.91,IR,2021-02-04 01:27:04
458,Khambhat,22.3,72.6167,59.0,88,0,4.43,IN,2021-02-04 01:27:04
459,Chegem,43.2833,43.1333,41.0,56,100,4.47,RU,2021-02-04 01:27:05
460,Morros,-9.4467,-46.3003,76.84,71,13,3.36,BR,2021-02-04 01:27:05
461,Panaba,21.2833,-88.2667,61.92,72,0,7.47,MX,2021-02-04 01:27:05
462,Kristiinankaupunki,62.2743,21.376,12.42,95,49,11.25,FI,2021-02-04 01:27:05
463,Paracuru,-3.41,-39.0306,81.0,75,100,17.0,BR,2021-02-04 01:24:56
464,Crestview,30.7621,-86.5705,41.0,75,1,2.89,US,2021-02-04 01:27:05
465,Kabare,-2.4683,28.8242,61.72,81,100,0.81,CD,2021-02-04 01:27:05
466,Suratgarh,29.3167,73.9,53.22,58,0,8.19,IN,2021-02-04 01:27:06
467,Guantanamo,20.1444,-75.2092,71.6,60,40,11.5,CU,2021-02-04 01:27:06
468,Leirvik,59.7798,5.5005,21.99,72,0,5.01,NO,2021-02-04 01:27:06
469,Pianco,-7.1981,-37.9292,82.13,50,27,8.08,BR,2021-02-04 01:27:06
470,Salaspils,56.8601,24.3654,26.6,80,90,12.66,LV,2021-02-04 01:27:06
471,Mahajanga,-15.7167,46.3167,75.2,94,20,3.44,MG,2021-02-04 01:27:06
472,Ler,8.3018,30.1418,78.98,25,0,1.86,SS,2021-02-04 01:27:07
473,Tucurui,-3.7661,-49.6725,76.37,84,47,1.66,BR,2021-02-04 01:27:07
474,Cordoba,-31.4135,-64.1811,63.0,94,75,18.41,AR,2021-02-04 01:27:07
475,Scarborough,54.2797,-0.4044,39.0,95,100,4.0,GB,2021-02-04 01:22:55
476,Krasnoselkup,65.7,82.4667,-6.48,91,94,6.76,RU,2021-02-04 01:27:07
